1,"已失去古蹟原件的華國文創建物,讓在地滿心期待努力迎接古蹟新北投站回家的地方人士傷心與難堪"
1,滅香的後果，暑假旺季竟然空蕩蕩的，行天宮北投分宮已經變成行天教會了，很快就會改奉耶穌了，謝謝你齁新任行天宮董事，喝洋墨水喝到腦殘了嗎？很多人在問呦～
1,沒有花的花卉  除了失望，沒有其他的形容詞了
1,根本就不是微風南山啊，微風南山是信義區的微風南山吧，誤導人
1, 長痛      
1,簡單易走的步道，不需花太多時間跟體力就可欣賞台北市的樣貌及夜景  步道導覽圖不是很詳細，尤其是在叉路口，這點需小心2018916
1,夜市很小，東西偏貴，去了2次，吃了幾家，都不怎麼好吃，CP值低！
1,在盪鞦韆區域的砂石堆要小心  有海尼根？？？的碎玻璃  很多寶寶會坐在這邊抓石頭  爸爸媽媽定要注意
1,小心車行白天景象有點被煙霧遮住  Beware of busy street The view was kind of smoggy
1,靠近平安麵那邊，點燈工作人員口氣很差，態度都很不耐煩，，連非假日晚上沒人排隊時，態度也是如此，是你們電腦資料建檔錯誤要求更改還兇人
1,外地朋友慕名而來，繞圈，30分鐘，就走了  吃飯到美觀園，幼稚園吃到現在，現在60歲了  個人真心喜歡美觀園，是老店那間，別走錯  我必吃蒸蛋
1,營業時間寫到晚上七點，實際只開放到傍晚6點出頭  去了詢問櫃檯說為何google資訊上面寫時間到七點  他們回覆是那是上班人員的下班時間  太瞎了吧，這會狂誤導民眾    趕快改掉吧無言的政府機關
1,737巷葉師父炒飯蚵仔煎，東西好吃是好吃，但是管理訂單出菜的流程似乎有大問題，攤前等候的人至少10多個，餐檯上疊了許多裝好的炒飯和蚵仔煎但卻不出餐，實在不曉得在等什麼，等個餐大概要20分鐘以上，適合極度有耐心的人去吃
1,裡面展示東西還不錯 但裡面服務志工阿嬤態度非常差讓人不想待著
1, 雜亂無章      Disorganized
1,男湯管理好，每場都測量水溫，及提愛長者不耐久等
1,那裡籃球場的阿伯打球很髒，沒進只會就喊犯規，還會罵人，很兇
2, 不推薦      Not recommend
2,玩具博物館！打發時間可以啦
2,來這邊拍照可以 但是喝的吃的都有夠爛
2,是個動動的地方，不知道為什麼雖然是大太陽還是覺得陰陰的
2, 這是個鄰居玩遊戲的廣場，像無家可歸的人樣躺下坐著的地方幾乎都是這些人，所以只有空地上的石頭我覺得我想坐下來會兒      近所人人寝市広場座人埋感空石上無座時寄感
2,無趣，惟可玩的要排很久的隊
2,普通  有冷氣  需門票  有免費置物櫃
